name,profileUrl,website,founderName,linkedinUrl
Cinapse,https://www.ycombinator.com/companies/cinapse,https://cinapse.io,Roger Tran,https://www.linkedin.com/in/rogerwtran/
Dealls – Jobs & Mentoring,https://www.ycombinator.com/companies/dealls-jobs-and-mentoring,https://dealls.com,Andhika Sudarman,https://www.linkedin.com/in/andhikasudarman/
Kenobi,https://www.ycombinator.com/companies/kenobi,https://kenobi.ai,Christopher Mjelde,https://www.linkedin.com/in/chrismjelde/
Kenobi,https://www.ycombinator.com/companies/kenobi,https://kenobi.ai,Rory McMeekin,https://linkedin.com/in/roryjm/
Tuesday,https://www.ycombinator.com/companies/tuesday,https://tuesday.so,Kai Feng,https://www.linkedin.com/in/kaijiabofeng/
Unravel Carbon,https://www.ycombinator.com/companies/unravel-carbon,http://unravelcarbon.com,Grace Sai,https://www.linkedin.com/in/gracesai/
Unravel Carbon,https://www.ycombinator.com/companies/unravel-carbon,http://unravelcarbon.com,Marc Allen,https://www.linkedin.com/in/marc-allen-90697227/
Rally UXR,https://www.ycombinator.com/companies/rally-uxr,https://www.rallyuxr.com/,Oren Friedman,https://www.linkedin.com/in/oren-friedman/
Rally UXR,https://www.ycombinator.com/companies/rally-uxr,https://www.rallyuxr.com/,Alec Robins,https://www.linkedin.com/in/alecrobins/
Unsaddl,https://www.ycombinator.com/companies/unsaddl,http://unsaddl.com,Steve Troy,https://www.linkedin.com/in/steve-t-79268b102/
Unsaddl,https://www.ycombinator.com/companies/unsaddl,http://unsaddl.com,Chris Hsu,http://linkedin.com/in/cjhsu
Fogbender,https://www.ycombinator.com/companies/fogbender,https://fogbender.com,Andrei Soroker,https://www.linkedin.com/in/soroker
Kular,https://www.ycombinator.com/companies/kular,https://www.kular.ai,Nelson Jones,https://www.linkedin.com/in/nelson-jones-238487194/
Talentropy.ai,https://www.ycombinator.com/companies/talentropy-ai,https://talentropy.ai/,Ruben Cordoba,https://www.linkedin.com/in/rubencordoba/
Talentropy.ai,https://www.ycombinator.com/companies/talentropy-ai,https://talentropy.ai/,Sebastian Arce,https://www.linkedin.com/in/sebastian-arce-rubio-499921126/
Bemlo,https://www.ycombinator.com/companies/bemlo,https://bemlo.com,Alexander Björkenstam,https://www.linkedin.com/in/alexander-bjorkenstam/
Bemlo,https://www.ycombinator.com/companies/bemlo,https://bemlo.com,Edvin Fernqvist,https://www.linkedin.com/in/edvin-fernqvist-88102616a/
Take App,https://www.ycombinator.com/companies/take-app,https://www.take.app,Youmin Kim,https://www.linkedin.com/in/youmin/
Arintra,https://www.ycombinator.com/companies/arintra,https://arintra.com,Nitesh Shroff,https://www.linkedin.com/in/nitesh-shroff-08855148
Arintra,https://www.ycombinator.com/companies/arintra,https://arintra.com,"Preeti Bhargava, PhD",https://www.linkedin.com/in/preetibhargava/
Agency,https://www.ycombinator.com/companies/agency,https://GetAgency.com,Amir Tarighat,https://www.linkedin.com/in/atarighat/
Agency,https://www.ycombinator.com/companies/agency,https://GetAgency.com,Tyler Carbone,https://www.linkedin.com/in/tylercarbone/
Tuva Health,https://www.ycombinator.com/companies/tuva-health,https://tuvahealth.com/,Aaron Neiderhiser,https://www.linkedin.com/in/aaronneiderhiser/
Tuva Health,https://www.ycombinator.com/companies/tuva-health,https://tuvahealth.com/,Coco Zuloaga,https://www.linkedin.com/in/jorge-zuloaga/
